title,imgurl,producturl,stars,price,id
"Carry On Luggage Hard Shell Travel Trolley 4 Spinner Wheels Lightweight Polypropylene Suitcase with TSA Lock (Carry-On 21-Inch, Green)",https://m.media-amazon.com/images/I/51dLLz87UsL._AC_UL320_.jpg,https://www.amazon.com/dp/B083LTWRH7,4.4,89.99,104
"Carry On Luggage 20'' Suitcase with Spinner Wheels Hardshell Lightweight Rolling Suitcases PC with Cover & TSA Lock for Business Travel, Sapphire Blue",https://m.media-amazon.com/images/I/61a0jaAzmaL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BS8X313Z,4.3,160.99,104
Luggage Expandable PC ABS Durable Hardside Suitcase with Spinner Wheels TSA Lock Checked-Medium 24 Inch LightGreen,https://m.media-amazon.com/images/I/71ed4BQCGGL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C61B5V1F,4.6,109.99,104
"Belle Voyage Softside Luggage with Spinner Wheels, red, Checked-Medium 25-Inch",https://m.media-amazon.com/images/I/81ZNbpqoJSL._AC_UL320_.jpg,https://www.amazon.com/dp/B081KR1T8K,4.6,78.9,104
"Luggage PC+ABS Durable Expandable Hardside Suitcase with Double Spinner Wheels TSA Lock 28-Inch, Blue",https://m.media-amazon.com/images/I/81wzGhUq0OL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BNJHHTG6,4.6,129.99,104
"Luggage Cover 3 Pieces Clear PVC Suitcase Covers Protector for Tsa Approved, Suitcase Cover Set for 20 24 28 inch Luggage.",https://m.media-amazon.com/images/I/71IEkbxlrWL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BJFJ772Y,4.3,29.99,104
20'' Carry on Luggage Lightweight with Spinner Wheel TSA Lock Hardside Luggage Airline Approved Carry on Suitcase Cream White,https://m.media-amazon.com/images/I/61PQ5EWxYlL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BNX2P6S9,4.6,59.99,104
"All Aluminum Luggage Zipperless Hard Shell Suitcase with TSA Lock Spinner Wheels Lightweight Metal Alloy Suitcases (Silver, 28 inch)",https://m.media-amazon.com/images/I/71EaIEhKCnL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BZ4LY43M,4.2,449.99,104
"Subterra Carry On Roller 22""",https://m.media-amazon.com/images/I/51HwsbMdzmL._AC_UL320_.jpg,https://www.amazon.com/dp/B01N0QT1UZ,4.5,359.95,104
Alpha 3 Worldwide Trip Expandable 4-Wheeled Packing Case - Large Suitcase with Top and Side-Grab Handles - Black,https://m.media-amazon.com/images/I/81kf9Mm4WIL._AC_UL320_.jpg,https://www.amazon.com/dp/B07MX2BYB5,3.7,1495.0,104
"Sky Max 2.0 Softside Expandable Luggage with Spinner Wheels, Blue, Checked-Medium, 24 Inch",https://m.media-amazon.com/images/I/814AO8mmsmL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B6LT4ST4,4.3,159.99,104
"Reaction ""Madison Square"" Women's Lightweight Hardside Chevron Expandable Spinner Luggage, 28-inch Checked, Black With Gold Zippers",https://m.media-amazon.com/images/I/61K-NjoGJeL._AC_UL320_.jpg,https://www.amazon.com/dp/B089CZ9N1M,4.1,185.0,104
"Clavel Hardside Expandable Luggage with Spinner Wheels, Blue Jean, Checked-Medium 25 Inch",https://m.media-amazon.com/images/I/81JigS5a8LL._AC_UL320_.jpg,https://www.amazon.com/dp/B08N814FSS,4.1,150.38,104
Luggage Aluminium Frame Suitcase PC ABS Hard Shell TSA Lock No Zipper 28In Haze Blue,https://m.media-amazon.com/images/I/619qFXjMHIL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CCCTL2ZM,4.1,189.99,104
Subterra Carry On Spinner,https://m.media-amazon.com/images/I/61Kk60qOiSL._AC_UL320_.jpg,https://www.amazon.com/dp/B07YH2XB8B,4.6,348.0,104
Luggage PC ABS Hardside Lightweight Suitcase with 4 Universal Wheels TSA Lock Checked-Large 28 Inch Black,https://m.media-amazon.com/images/I/61TDMavvTnL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BPS6ZSZ9,4.6,129.99,104
"20 Inch Carry On with Front Pocket, 22x14.6x10in, 45L, Lightweight ABS+PC Hardshell Suitcase with TSA Lock, YKK Zipper & 4 Spinner Silent Wheels, Orange",https://m.media-amazon.com/images/I/61AQeOfAHXL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BFQLJVM1,4.4,112.99,104
"Grace Luggage, 28 Hardside Suitcase, ABS+PC Harshell Spinner Luggage with TSA Lock, Spinner Wheels - Black, 28 Inch",https://m.media-amazon.com/images/I/611t6azQQpL._AC_UL320_.jpg,https://www.amazon.com/dp/B09QYJ9TLJ,4.6,239.99,104
19 Degree Short Trip Expandable 4 Wheeled Packing Case - Navy,https://m.media-amazon.com/images/I/61F3qJQBbaL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B3HZPKMS,3.9,895.0,104
"Carry On Luggage Airline Approved, Softside Suitcase with Spinner Wheels 20 Inch Small Lightweight Carry-on Luggage with Front Pockets, Women Men Business Travel (Black)",https://m.media-amazon.com/images/I/71TvhF3V2fL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BP6D16P3,4.4,85.99,104
"Moonlight Hardside Expandable Luggage with Spinner Wheels, Black Marble, Checked-Large 28-Inch",https://m.media-amazon.com/images/I/71kmLlCMzWL._AC_UL320_.jpg,https://www.amazon.com/dp/B07ZSWKZYN,4.5,139.99,104
